rsvp_no,time,institution,status
191,2019-03-26 12:47:00,Weill Cornell,Checked In
192,2019-03-26 12:50:00,MSKCC,Attending
193,2019-03-26 13:04:00,Weill Cornell,Checked In
194,2019-03-26 13:11:00,MSKCC,Attending
195,2019-03-26 13:18:00,Weill Cornell,Attending
196,2019-03-26 13:47:00,Weill Cornell,Attending
197,2019-03-26 13:52:00,Weill Cornell,Attending
198,2019-03-26 13:56:00,Other,Attending
199,2019-03-26 14:45:00,Weill Cornell,Attending
200,2019-03-26 14:50:00,Einstein,Attending
201,2019-03-26 15:00:00,Other,Checked In
202,2019-03-26 15:05:00,Other,Attending
203,2019-03-26 15:08:00,NYU,Checked In
204,2019-03-26 15:09:00,Columbia,Checked In
205,2019-03-26 15:14:00,Weill Cornell,Attending
206,2019-03-26 15:42:00,Weill Cornell,Attending
207,2019-03-26 15:44:00,Non-academic Institution,Checked In
208,2019-03-26 15:47:00,Weill Cornell,Attending
209,2019-03-26 15:52:00,Non-academic Institution,Attending
210,2019-03-26 16:01:00,NYU,Attending
211,2019-03-26 16:32:00,MSKCC,Attending
212,2019-03-26 16:46:00,Weill Cornell,Attending
213,2019-03-26 16:48:00,CUNY,Checked In
214,2019-03-26 16:57:00,Mount Sinai,Checked In
215,2019-03-26 17:05:00,Einstein,Checked In
216,2019-03-26 17:14:00,Non-academic Institution,Attending
217,2019-03-26 17:35:00,Other,Attending
218,2019-03-26 18:20:00,Columbia,Checked In
219,2019-03-26 18:26:00,Columbia,Attending
220,2019-03-26 18:29:00,Non-academic Institution,Checked In
221,2019-03-26 21:49:00,MSKCC,Attending
222,2019-03-26 21:56:00,MSKCC,Attending
223,2019-03-26 22:45:00,Other,Attending
224,2019-03-26 22:52:00,Columbia,Checked In
225,2019-03-26 22:56:00,NYU,Attending
226,2019-03-27 04:20:00,Non-academic Institution,Attending
227,2019-03-27 08:47:00,NYU,Checked In
228,2019-03-27 09:43:00,Other,Attending
229,2019-03-27 10:00:00,Columbia,Checked In
230,2019-03-27 10:05:00,NYU,Checked In
231,2019-03-27 11:00:00,Other,Attending
232,2019-03-27 11:14:00,Weill Cornell,Checked In
233,2019-03-27 11:17:00,NYU,Checked In
234,2019-03-27 12:08:00,NYU,Checked In
235,2019-03-27 13:03:00,Columbia,Checked In
236,2019-03-27 13:08:00,Non-academic Institution,Checked In
237,2019-03-27 13:16:00,NYU,Attending
238,2019-03-27 13:30:00,NYU,Attending
239,2019-03-27 13:39:00,Non-academic Institution,Attending
240,2019-03-27 13:49:00,Einstein,Checked In
241,2019-03-27 14:35:00,MSKCC,Checked In
242,2019-03-27 14:43:00,Other,Attending
243,2019-03-27 14:45:00,Non-academic Institution,Attending
244,2019-03-27 15:12:00,Other,Attending
245,2019-03-27 15:26:00,Weill Cornell,Attending
246,2019-03-27 16:11:00,Einstein,Checked In
247,2019-03-27 18:22:00,CUNY,Checked In
248,2019-03-27 19:58:00,Columbia,Attending
249,2019-03-27 20:46:00,Weill Cornell,Checked In
251,2019-03-27 21:04:00,Other,Attending
252,2019-03-27 21:05:00,Non-academic Institution,Checked In
253,2019-03-27 22:36:00,Non-academic Institution,Checked In
254,2019-03-28 09:26:00,Weill Cornell,Checked In
255,2019-03-28 09:31:00,CUNY,Attending
256,2019-03-28 09:43:00,Non-academic Institution,Checked In
257,2019-03-28 09:48:00,Non-academic Institution,Attending
258,2019-03-28 10:08:00,Non-academic Institution,Attending
259,2019-03-28 10:13:00,Columbia,Checked In
260,2019-03-28 10:16:00,NYU,Checked In
261,2019-03-28 10:29:00,NYU,Checked In
262,2019-03-28 10:34:00,Rutgers,Attending
263,2019-03-28 10:42:00,Non-academic Institution,Attending
264,2019-03-28 10:51:00,Rockefeller,Attending
265,2019-03-28 11:59:00,Non-academic Institution,Attending
266,2019-03-28 13:13:00,Non-academic Institution,Attending
267,2019-03-28 15:48:00,Other,Checked In
268,2019-03-28 15:49:00,Mount Sinai,Checked In
269,2019-03-28 16:02:00,Mount Sinai,Attending
270,2019-03-28 16:03:00,Rutgers,Checked In
271,2019-03-28 16:09:00,Non-academic Institution,Attending
272,2019-03-28 16:10:00,Non-academic Institution,Attending
273,2019-03-28 16:47:00,NYU,Attending
274,2019-03-29 01:02:00,Columbia,Attending
275,2019-03-29 09:18:00,Non-academic Institution,Attending
276,2019-03-29 09:22:00,Non-academic Institution,Attending
277,2019-03-29 11:21:00,Non-academic Institution,Attending
278,2019-03-29 12:11:00,NYU,Attending
279,2019-03-29 12:18:00,Other,Attending
280,2019-03-29 13:43:00,Columbia,Checked In
281,2019-03-29 14:08:00,Weill Cornell,Attending
282,2019-03-29 16:34:00,Other,Attending
283,2019-03-29 16:48:00,Other,Attending
284,2019-03-29 18:26:00,Other,Checked In
285,2019-03-29 19:14:00,NYU,Checked In
286,2019-03-29 20:30:00,Einstein,Checked In
287,2019-03-30 18:01:00,Rutgers,Checked In
288,2019-03-30 23:00:00,Columbia,Attending
289,2019-03-30 23:03:00,CUNY,Attending
290,2019-03-31 06:06:00,Non-academic Institution,Attending
291,2019-03-31 14:19:00,Weill Cornell,Attending
292,2019-04-01 09:20:00,Non-academic Institution,Checked In
293,2019-04-01 09:41:00,NYU,Attending
294,2019-04-01 09:46:00,NYU,Attending
295,2019-04-01 09:54:00,NYU,Attending
296,2019-04-01 10:15:00,NYU,Attending
297,2019-04-01 10:18:00,NYU,Checked In
298,2019-04-01 10:26:00,Non-academic Institution,Attending
299,2019-04-01 11:03:00,NYU,Checked In
300,2019-04-01 11:36:00,Mount Sinai,Attending
301,2019-04-01 12:02:00,NYU,Attending
302,2019-04-01 12:27:00,NYU,Attending
303,2019-04-01 12:31:00,NYU,Attending
304,2019-04-01 12:52:00,NYU,Checked In
305,2019-04-01 13:25:00,Columbia,Checked In
306,2019-04-01 14:15:00,NYU,Checked In
307,2019-04-01 14:40:00,NYU,Checked In
308,2019-04-01 14:53:00,CUNY,Checked In
309,2019-04-01 15:08:00,Columbia,Attending
310,2019-04-01 17:20:00,Einstein,Attending
311,2019-04-01 17:21:00,Columbia,Attending
312,2019-04-01 17:23:00,Columbia,Checked In
313,2019-04-01 18:27:00,Rutgers,Attending
314,2019-04-01 19:09:00,Rutgers,Attending
315,2019-04-01 19:59:00,Rutgers,Attending
316,2019-04-02 01:07:00,Other,Attending
317,2019-04-02 08:54:00,Mount Sinai,Checked In
318,2019-04-02 09:05:00,Rutgers,Checked In
319,2019-04-02 09:07:00,Mount Sinai,Attending
320,2019-04-02 09:07:00,NYU,Attending
321,2019-04-02 09:08:00,Rockefeller,Attending
322,2019-04-02 09:09:00,CUNY,Checked In
323,2019-04-02 09:44:00,MSKCC,Attending
324,2019-04-02 09:48:00,Other,Checked In
325,2019-04-02 09:53:00,Mount Sinai,Checked In
326,2019-04-02 09:54:00,Mount Sinai,Checked In
327,2019-04-02 10:01:00,Other,Checked In
